"TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"TEAM BEVEL","1","adewale-the-amebo","adewale the amebo","Adewale likes to be in everyone's business.","Male","hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity","cad316c3-37f8-4b27-9f53-9d803bfcfee7","03b59d15f6b999634d37a7e075e88cf0d32f2ebbe98e2c730c75030495bcbd24""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","2","alli-the-queeny","alli the queeny","Alli is an LGBT Stan.","Male","hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none","a57ecda4-a26f-4e97-a757-e1800af39aab","977fb8f1ebbc855b1c576959b1a92ddd0e6807dabbdb8430c707d55c71795652""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","3","aminat-the-snnobish","aminat the snnobish","Aminat never really wants to talk to anyone.","Female","hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude","0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de","db0be06b835de0717a67ceb6469ff15478674d2e27fdf89e694e529e835e6ee5""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","4","aminu-the-carpenter","aminu the carpenter","Aminu's hands are blessed; he makes the best furniture in the whole of Kano.","Male","hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none","4f30b751-96e7-40fe-97fd-e3d44973ff2f","ea8859adafc00b9808b2a5af6d0789f77b807173fb14bda8d95d58b227b08fb6""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","5","chibuike-the-kudibag","chibuike the kudibag","Chibuike is too rich. Everyone wonders how he got it.","Male","hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none","5ce854f2-7ac1-46fd-b3fe-57583935d1e5","7b56a961a4d559e8abe0381e5f3d56c371baf227a99bdc5bd5abec1f8d97c8b4""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","6","chidinma-the-model","chidinma the model","From Paris' runways; to London's streets; she's always in demand.","Female","hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none","c98db72e-49ac-4ca6-89d5-e00f5fbbcc45","222c424675bef95e68aec52dd6de418ecefc38abdb5f575e16e89034c973d84a""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","7","chioma-pretty- girl","chioma pretty girl","Chioma's face card is a 100.","Female","hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none","182ea888-a85b-42ca-ad73-ed4f8f9aa5c7","fcab1a171f103da12ea830e7612b9a67c3b6ade1d438fa832abc8f547e52ca79""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","8","damilare-the-handsome","damilare the handsome","He's a fine boy; proper eye candy.","Male","hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none","27eca2dc-d7df-474a-8f8f-1858152c711e","265f3ecba2f3090a312efd34882876ff1ffa1abbe21c3c33390469292d836784""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","9","ebiowie-the-planter","ebiowie the planter","Ebiowei has a reputation for nurturing plants.","Male","hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none","f1df8270-4d60-4bd4-8959-ba7c384db5c4","97a2d070ce92fbc619aad74ee46719353b02aa6b02e637e859d5c1a9d44c6cd1""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","10","emeka-the-businessman","emeka the businessman","Emeka only cares about containers. No time to waste.","Male","hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none","9b3d75da-4887-4089-aee4-50de3954fdc9","1bb01221345c994c97506f09debeab4da233c6b451a2c62f893964ef1c1bc271""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","11","gbeminyi-the-monk","gbeminyi the monk","He lives in a monastery off the coast. No one has heard him speak in years.","Male","hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none","c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb","5b223114fa634892a79c3b987aaa7ecdba606a34af1db9ee8729b2575b59a215""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
"","12","henry-the-sportsman","henry the sportsman","He's played every sport known to man. Even cricket.","Male","hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none","e1225451-bfdf-4a1f-8d37-9cce3a0bd67b","e63ab13b5a8db057f088bfa8da5ebe83983b97e64e97c9ccd9528030847889ee""TEAM NAMES","Series Number","Filename","Name","Description","Gender","Attributes","UUID","HASH"
